seed,permutation,learned_accuracy,learned_macro_f1,shuffled_accuracy,shuffled_macro_f1
43,0,0.8771929824561403,0.8477187135591386,0.8385964912280702,0.8000134560323764
43,1,0.8771929824561403,0.8477187135591386,0.856140350877193,0.8245191708324058
43,2,0.8771929824561403,0.8477187135591386,0.8385964912280702,0.8072816325267306
43,3,0.8771929824561403,0.8477187135591386,0.8491228070175438,0.8175757107226658
43,4,0.8771929824561403,0.8477187135591386,0.8421052631578947,0.8122898487085958
43,5,0.8771929824561403,0.8477187135591386,0.8526315789473684,0.8137072870768522
43,6,0.8771929824561403,0.8477187135591386,0.8245614035087719,0.7893116460978256
43,7,0.8771929824561403,0.8477187135591386,0.8491228070175438,0.8171342754596984
43,8,0.8771929824561403,0.8477187135591386,0.8280701754385965,0.7873603683897801
43,9,0.8771929824561403,0.8477187135591386,0.8491228070175438,0.8107248094905328
43,10,0.8771929824561403,0.8477187135591386,0.856140350877193,0.8227473832431346
43,11,0.8771929824561403,0.8477187135591386,0.8245614035087719,0.7871144660599041
43,12,0.8771929824561403,0.8477187135591386,0.8421052631578947,0.8099099998682949
43,13,0.8771929824561403,0.8477187135591386,0.8385964912280702,0.8039795401501411
43,14,0.8771929824561403,0.8477187135591386,0.8280701754385965,0.7879277181995771
43,15,0.8771929824561403,0.8477187135591386,0.856140350877193,0.823161411987513
43,16,0.8771929824561403,0.8477187135591386,0.8350877192982457,0.8021158306883418
43,17,0.8771929824561403,0.8477187135591386,0.8315789473684211,0.793291233435953
43,18,0.8771929824561403,0.8477187135591386,0.8666666666666667,0.8356101972814104
43,19,0.8771929824561403,0.8477187135591386,0.8350877192982457,0.7963809537078821
43,20,0.8771929824561403,0.8477187135591386,0.8456140350877193,0.8145012285932097
43,21,0.8771929824561403,0.8477187135591386,0.8491228070175438,0.8159805126893734
43,22,0.8771929824561403,0.8477187135591386,0.8315789473684211,0.7976220821718284
43,23,0.8771929824561403,0.8477187135591386,0.8421052631578947,0.8112952380897964
43,24,0.8771929824561403,0.8477187135591386,0.8385964912280702,0.7990779813267925
43,25,0.8771929824561403,0.8477187135591386,0.8421052631578947,0.8079966850607905
43,26,0.8771929824561403,0.8477187135591386,0.8526315789473684,0.818110345093181
43,27,0.8771929824561403,0.8477187135591386,0.8350877192982457,0.7983153459801728
43,28,0.8771929824561403,0.8477187135591386,0.8315789473684211,0.7986992249659017
43,29,0.8771929824561403,0.8477187135591386,0.8421052631578947,0.8075588422501966
43,30,0.8771929824561403,0.8477187135591386,0.8666666666666667,0.8346293570388645
43,31,0.8771929824561403,0.8477187135591386,0.8280701754385965,0.7903470277854442
43,32,0.8771929824561403,0.8477187135591386,0.8280701754385965,0.7916455515188828
43,33,0.8771929824561403,0.8477187135591386,0.8315789473684211,0.7972407869616989
43,34,0.8771929824561403,0.8477187135591386,0.8421052631578947,0.8078314494841431
43,35,0.8771929824561403,0.8477187135591386,0.8456140350877193,0.8052390012279935
43,36,0.8771929824561403,0.8477187135591386,0.856140350877193,0.8162793610394102
43,37,0.8771929824561403,0.8477187135591386,0.8491228070175438,0.8201886392661495
43,38,0.8771929824561403,0.8477187135591386,0.8456140350877193,0.8108320562322533
43,39,0.8771929824561403,0.8477187135591386,0.8421052631578947,0.8107556859221676
